location,target_date,value
Butte,2020-06,1.2866475095785441
Butte,2020-07,1.173188181498417
Butte,2020-08,1.0337167085427137
Butte,2020-09,0.8827123050259965
Butte,2020-10,1.0648992787863716
Butte,2020-11,1.2705630699553216
Butte,2020-12,1.1058812452186195
Butte,2021-01,0.8521606017267864
Butte,2021-02,0.7988109582812323
Butte,2021-03,0.8656145236145236
Butte,2021-04,1.0147937701396348
Butte,2021-05,0.9054980079681274
Butte,2021-06,0.9064403921813526
Butte,2021-07,1.241621447783885
Butte,2021-08,1.122985706723134
Butte,2021-09,0.9281466053220592
Butte,2021-10,0.940495250158328
Butte,2021-11,0.8820037066077411
Butte,2021-12,1.1102942309173536
Butte,2022-01,1.1010941407645587
Butte,2022-02,0.7010767204478103
Butte,2022-03,0.7439771979828985
